Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2016-07-19,9.315977255381693,10.362091418680242,8.952541967233023,9.143021583557127,47800,0.0,0,,,,,,,,,,4.533414363861084
2016-07-20,9.135401963796982,9.143021322621792,8.495390354953928,8.99063777923584,93100,0.0,0,-0.016666678835729254,0.9833333211642707,,,,,,,,4.70103645324707
2016-07-21,8.990636459554151,9.14301998057264,8.853490927326538,8.952540397644043,158100,0.0,0,-0.004237450393094866,0.97916649499596,,,,,,,,4.647702217102051
2016-07-22,8.876350272454717,9.005876476140502,8.723966717125,8.838254928588867,28500,0.0,0,-0.01276570269208177,0.9666667466347938,,,,,,,,4.647702217102051
2016-07-25,8.381102720227902,8.876349408501646,8.381102720227902,8.7925386428833,13800,0.0,0,-0.00517254662543043,0.9616666178165721,,,,,,,,4.640082836151123
2016-07-26,8.914444968815035,8.914444968815035,8.784918785095215,8.784918785095215,10100,0.0,0,-0.0008666277280741097,0.9608332108604091,,,,,,,,4.807704925537109
2016-07-27,8.952542049811854,9.143021667892958,8.800158500671387,8.800158500671387,46800,0.0,0,0.0017347588462659491,0.9625000247727353,,,,,,,,4.883896350860596
2016-07-28,8.685868992612718,8.838253245546461,8.685868992612718,8.76206111907959,168500,0.0,0,-0.004329169933574573,0.9583331986044245,,,,,,,,5.402002334594727
2016-07-29,8.824538169705502,8.952540621206278,8.685868907798158,8.876348495483398,31600,0.0,0,0.013043435197563902,0.9708331555780954,,,,9.371597069454072,,,,5.935344219207764
2016-08-01,8.70110740630805,9.066827856752424,8.129668657522261,8.952540397644043,44700,0.0,0,0.00858369882608967,0.97916649499596,,,,8.63634516270761,,,,6.049631595611572
2016-08-02,8.762061806703048,8.792538514357133,8.548724853124446,8.609678268432617,47500,0.0,0,-0.03829774722956336,0.9416666240749472,,,,8.63634516270761,,,,5.94296407699585
2016-08-03,8.419198807320168,8.685869822179388,8.419198807320168,8.434436798095703,20400,0.0,0,-0.02035400915960317,0.9224999329832331,,,,8.63634516270761,,,,5.8058180809021
2016-08-04,8.396340634678571,8.57158150783805,8.190622329711914,8.190622329711914,153500,0.0,0,-0.0289070241701066,0.895833205123565,,,,8.63634516270761,,,,5.8134379386901855
2016-08-05,8.114431117355934,8.26681538706681,7.687757196707225,8.182242393493652,31500,0.0,0,-0.0010231134925929863,0.8949166660842903,,,,8.415389432300092,,,,5.70676851272583
2016-08-08,7.6268031495725,7.809663386176626,7.558230379190455,7.7639479637146,69000,0.0,0,-0.05112222416090628,0.8491665356753983,,,,8.350626023541707,,,,5.638196468353272
2016-08-09,7.779186653788024,7.942236994544614,7.238224577362377,7.474419593811035,324500,0.0,0,-0.03729138464820958,0.8174999397631395,,,,8.1525262170574,,,,5.485813140869141
2016-08-10,7.69537603310322,7.878236272396026,7.581087838578717,7.657279968261719,86100,0.0,0,0.02446482595144861,0.8374999335047645,,,,8.1525262170574,,,,5.234379291534424
2016-08-11,7.619183880242159,8.000143074254266,7.619183880242159,7.862997531890869,121300,0.0,0,0.026865618663783897,0.8599998873492478,,,,8.1525262170574,,,,5.302951812744141
2016-08-12,8.000143901848014,8.388722494327073,7.99252454279029,8.114431381225586,826200,0.0,0,0.03197684449409377,0.8874999700119529,,,,8.015381545859755,,,,5.318191051483154
2016-08-15,8.07633600246763,8.183004122302584,8.000143865480888,8.030620574951172,67100,0.0,0,-0.01032861112958916,0.8783333279441774,8.460684871673584,9.4566461812736,7.464723562073568,7.962047199770883,,,,5.219141006469727
2016-08-16,8.0382399048818,8.0382399048818,6.270588582136791,6.476306915283203,458800,0.0,0,-0.19354838709677424,0.7083333289872398,8.327349138259887,9.60095954918246,7.053738727337313,7.4210850449874215,,,,5.264855861663818
2016-08-17,6.819169807952929,6.819169807952929,5.409620784127639,5.417240142822266,518800,0.0,0,-0.16352942908892787,0.5924999840932967,8.148679256439209,9.913992033509079,6.3833664793693385,6.899171639227356,,,,5.173426151275635
2016-08-18,5.417239590582236,5.417239590582236,4.563890759259451,4.723893642425537,504900,0.0,0,-0.12798888033704736,0.5166665745294773,7.937246918678284,10.212420698752407,5.6620731386041605,6.476306626793262,,,,5.19628381729126
2016-08-19,4.815324546628321,4.815324546628321,4.327696496098937,4.5257954597473145,332800,0.0,0,-0.04193536046177937,0.4949999754880309,7.721623945236206,10.400681152579924,5.042566737892487,6.358209495213005,,,,5.051519870758057
2016-08-22,4.617225019847832,4.617225019847832,4.365792029968199,4.434364795684815,137600,0.0,0,-0.02020212024067125,0.48499992646409235,7.503715252876281,10.493418064274167,4.514012441478395,6.358209495213005,,,,5.089614868164063
